pos,decoy,non_decoy
0,0.0005331911490269261,0
1,0.12103439082911224,0.16630621584567556
2,0.2556651559584111,0.396672910189816
3,0.4644094908024527,0.7501110317261088
4,0.3633697680618502,0.5925232201131558
5,0.2772593974940016,0.4012396933593373
6,0.13809650759797387,0.11320408596752081
7,0.15995734470807785,0.1431633421515052
8,0.14289522793921622,0.13943653812732926
9,0.12769928019194882,0.133740127831309
10,0.11703545721141029,0.12180663100778187
11,0.11596907491335644,0.12219282831598664
12,0.11250333244468141,0.11893911599436152
13,0.11463609704078913,0.11927703863904068
14,0.12236736870167955,0.11992391913028366
15,0.11810183950946414,0.12332245544248556
16,0.11676886163689683,0.1239500260683183
17,0.11836843508397761,0.12506999826211213
18,0.12290055985070648,0.12446173750168961
19,0.12823247134097573,0.12434587830922818
20,0.12876566249000265,0.12467414602120223
21,0.13756331644894695,0.12667271709116187
22,0.1386296987470008,0.12737752717863557
23,0.14529458810983736,0.12857473883407033
24,0.14609437483337775,0.13095950721223473
25,0.14262863236470275,0.13245602178152818
26,0.13329778725673153,0.13342151505204008
27,0.1306318315115969,0.1340394307451677
28,0.13836310317248735,0.1346476915055902
29,0.14076246334310852,0.13578697356479424
30,0.1466275659824047,0.13604765674783248
31,0.14289522793921622,0.13628903006546045
32,0.14502799253532392,0.13684901616235734
33,0.1500933084510797,0.13883793229961186
34,0.14982671287656624,0.13904068588641938
35,0.1522260730471874,0.13922412960781663
36,0.1508930951746201,0.1385965589819839
37,0.15035990402559318,0.13877034777067604
38,0.15329245534524127,0.13897310135748353
39,0.15035990402559318,0.13889586189584258
40,0.15195947747267396,0.1392627493386371
41,0.14609437483337775,0.13949446772355997
42,0.1458277792588643,0.142255778477224
43,0.14609437483337775,0.1413964894664684
44,0.1551586243668355,0.14020893274373877
45,0.16209010930418555,0.13918550987699616
46,0.15889096241002398,0.14115511614884044
47,0.147960543854972,0.14226543340992914
48,0.11010397227406025,0.12129491957441056
49,0.08744334844041589,0.09942649699731593
